Gene_acc,Gene_id,SMp1,SMp2,SMp3,SMp4,SMm1,SMm2,SMm3,SMm4,Desc
0,Tb927.5.4450,22895.0,26920.0,24564.0,17972.0,27699.0,20308.0,28309.0,19195.0,"hypothetical protein, conserved"
1,Tb927.5.4460,4724300.0,5388300.0,4734300.0,4926000.0,4982700.0,5071400.0,5221400.0,5013900.0,"major vault protein, putative"
2,Tb927.5.4470,272410.0,273340.0,258640.0,242860.0,255530.0,246310.0,276910.0,256070.0,"hypothetical protein, conserved"
3,Tb927.5.4480,1403100.0,1548400.0,1437700.0,1407600.0,1475600.0,1547100.0,1552600.0,1540700.0,"paraflagellar rod component par4, putative"
4,Tb927.5.4500,2729800.0,3386400.0,2771300.0,2793200.0,3032400.0,3228200.0,3377000.0,3151200.0,"ras-like small GTPase, putative"
5,Tb927.5.4520,104090.0,105270.0,104130.0,110060.0,102070.0,97231.0,115690.0,104750.0,Kinetochore interacting protein 1
6,Tb927.5.4360,112170.0,115370.0,120580.0,117300.0,114600.0,101670.0,122270.0,109730.0,"hypothetical protein, conserved"
7,Tb927.5.4560,3651100.0,4077000.0,3747600.0,4075700.0,4088600.0,4499500.0,4298400.0,4088100.0,"guanine deaminase, putative"
8,Tb05.5K5.210,40362.0,53371.0,54705.0,52834.0,48718.0,46715.0,54363.0,49535.0,hypothetical protein
9,Tb927.5.4380,1352000.0,1440600.0,1290400.0,1487600.0,1451900.0,1430700.0,1535000.0,1469200.0,Kinetoplastid-specific Protein Phosphatase 1
10,Tb927.5.4390,51672.0,68512.0,49663.0,53321.0,66251.0,64966.0,65391.0,68868.0,"hypothetical protein, conserved"
11,Tb927.5.4400,73772.0,91909.0,81697.0,84540.0,84637.0,79370.0,102070.0,95230.0,"hypothetical protein, conserved"
12,Tb927.5.4410,132630.0,140130.0,122690.0,140080.0,121290.0,120320.0,118720.0,126520.0,"hypothetical protein, conserved"
13,Tb927.5.4420,2147400.0,2425200.0,2054800.0,2440700.0,2118600.0,2191800.0,2278800.0,2396400.0,"nucleolar RNA helicase II, putative"
14,Tb927.5.4430,39799.0,40085.0,42701.0,45762.0,44676.0,43906.0,45458.0,38542.0,"calcium/calmodulin-dependent protein kinase, putative"
15,Tb927.5.4440,636370.0,740980.0,646910.0,713270.0,604360.0,540930.0,659920.0,602050.0,"dynein light chain, putative"
16,Tb06.3A7.960,843770.0,951280.0,829070.0,963930.0,912300.0,930480.0,926530.0,904430.0,hypothetical protein
17,Tb09.v4.0013,24532.0,24046.0,20266.0,23283.0,22714.0,27329.0,27114.0,22329.0,"retrotransposon hot spot (RHS) protein, putative"
18,Tb09.v4.0016,262450.0,307070.0,286170.0,278290.0,331250.0,344120.0,331750.0,331180.0,"expression site- associated gene (ESAG) protein, putative"
19,Tb09.v4.0067,193140.0,194540.0,201970.0,132240.0,205500.0,221900.0,236060.0,227580.0,"retrotransposon hot spot protein, pseudogene"
21,Tb09.v4.0109,242230.0,259230.0,222870.0,248880.0,221630.0,237140.0,235460.0,232400.0,hypothetical protein
22,Tb09.v4.0150,38804.0,39889.0,42247.0,35689.0,40246.0,41655.0,45352.0,42952.0,"variant surface glycoprotein (VSG, pseudogene), putative"
23,Tb927.10.4430,704630.0,796660.0,704470.0,783680.0,746970.0,814990.0,822970.0,831380.0,pumillo RNA binding protein PUF1
24,Tb927.10.4440,46737.0,47518.0,38728.0,43364.0,48301.0,52579.0,47762.0,46897.0,predicted SAP domain protein
25,Tb10.v4.0035,1638300.0,1774600.0,1457500.0,1623500.0,1639600.0,1771900.0,1661900.0,1781100.0,"stress-inducible protein STI1-like, putative"
26,Tb927.10.4460,107040.0,104620.0,108250.0,95966.0,107930.0,102160.0,111210.0,97155.0,"leucine carboxyl methyltransferase, putative"
27,Tb927.10.4470,28637.0,34748.0,30609.0,29774.0,27299.0,30815.0,38649.0,34588.0,"hypothetical protein, conserved"
28,Tb927.10.4490,347020.0,409540.0,358760.0,356920.0,387130.0,408160.0,420460.0,372500.0,"hypothetical protein, conserved"
29,Tb927.10.4500,545850.0,597200.0,511640.0,621910.0,538380.0,578020.0,552770.0,554770.0,cap guanine-N7 methyltransferase
30,Tb10.v4.0041,208280.0,207170.0,208790.0,209920.0,223890.0,246630.0,250890.0,216020.0,"PUB domain containing protein, putative"
31,Tb927.10.4320,214640.0,244740.0,235180.0,233840.0,227260.0,246520.0,204530.0,229420.0,"hypothetical protein, conserved"
32,Tb927.10.4310,997860.0,1110600.0,901180.0,1061700.0,1000900.0,1074200.0,1114900.0,995850.0,"prohibitin 2, putative"
33,Tb10.v4.0052,101370.0,122530.0,113630.0,117460.0,140720.0,154900.0,157140.0,142860.0,microtubule-associated protein 2
37,Tb10.v4.0213,89188.0,98360.0,90135.0,93723.0,67261.0,80418.0,87205.0,74803.0,"expression site-associated protein 1 (ESAG1), putative"
